,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
17148,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
17400,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1
17468,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1
17496,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1
17500,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
17502,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
17512,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
17516,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1
17520,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
17524,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1
17525,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1
17526,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1
17528,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17529,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17530,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17532,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17533,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17534,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17535,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
17552,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
17560,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
17564,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1
17565,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1
17568,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
17580,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1
17584,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1
17588,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1
17592,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1
17593,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1
17596,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1
